sample_id	tissue
GTEX-14BMV-0626-SM-793AU	Breast - Mammary Tissue
GTEX-14BMV-0726-SM-73KVE	Thyroid
GTEX-14BMV-0826-SM-73KXU	Lung
GTEX-14BMV-0926-SM-7DHKM	Artery - Coronary
GTEX-14BMV-1026-SM-5SI6B	Heart - Atrial Appendage
GTEX-14BMV-1226-SM-5TDDY	Artery - Aorta
GTEX-14BMV-1426-SM-5S2WA	Esophagus - Muscularis
GTEX-14BMV-1526-SM-793AV	Esophagus - Gastroesophageal Junction
GTEX-14BMV-1626-SM-73KVQ	Adipose - Visceral (Omentum)
GTEX-14BMV-2226-SM-5RQHX	Stomach
GTEX-14BMV-2326-SM-5RQJ4	Prostate
GTEX-14BMV-2426-SM-5S2PP	Colon - Transverse
GTEX-14BMV-2826-SM-5TDED	Skin - Not Sun Exposed (Suprapubic)
GTEX-14BMV-2926-SM-5TDEE	Brain - Cerebellum
GTEX-14BMV-3026-SM-5S2PQ	Brain - Cortex
GTEX-14BMV-3126-SM-5S2UV	Pituitary
GTEX-14C38-0006-SM-5NQBF	Whole Blood
GTEX-14C38-0126-SM-5YY9V	Testis
GTEX-14C38-0426-SM-5TDDZ	Muscle - Skeletal
GTEX-14C38-0626-SM-5S2TV	Nerve - Tibial
GTEX-14C38-0726-SM-5SI6M	Skin - Not Sun Exposed (Suprapubic)
GTEX-14C38-0826-SM-5S2U8	Thyroid
GTEX-14C38-1026-SM-73KY7	Adipose - Visceral (Omentum)
GTEX-14C38-1226-SM-5S2UK	Artery - Coronary
GTEX-14C38-1326-SM-62LDK	Heart - Atrial Appendage
GTEX-14C38-1426-SM-5RQHZ	Heart - Left Ventricle
GTEX-14C38-1526-SM-5RQJ7	Liver
GTEX-14C38-1726-SM-5RQJC	Adrenal Gland
GTEX-14C38-2126-SM-5RQJO	Esophagus - Mucosa
GTEX-14C38-2226-SM-793AW	Esophagus - Muscularis
GTEX-14C39-0005-SM-5NQBR	Whole Blood
GTEX-14C39-0011-R11b-SM-5YYAF	Brain - Cerebellar Hemisphere
GTEX-14C39-0011-R3b-SM-5YYA3	Brain - Anterior cingulate cortex (BA24)
GTEX-14C39-0011-R5b-SM-5ZZV1	Brain - Caudate (basal ganglia)
GTEX-14C39-0126-SM-6128R	Artery - Aorta
GTEX-14C39-0226-SM-5TDDW	Thyroid
GTEX-14C39-0326-SM-5TDDX	Lung
GTEX-14C39-0526-SM-664OF	Testis
GTEX-14C39-0726-SM-5RQIK	Heart - Atrial Appendage
GTEX-14C39-0826-SM-5TDDU	Adipose - Visceral (Omentum)
GTEX-14C39-0926-SM-5TDDV	Heart - Left Ventricle
GTEX-14C39-1026-SM-73KWG	Pancreas
GTEX-14C39-1626-SM-5S2P4	Colon - Sigmoid
GTEX-14C39-1726-SM-5RQIL	Skin - Not Sun Exposed (Suprapubic)
GTEX-14C39-1826-SM-5ZZW4	Small Intestine - Terminal Ileum
GTEX-14C39-1926-SM-5ZZW5	Colon - Transverse
GTEX-14C39-2126-SM-664OH	Kidney - Cortex
GTEX-14C39-2426-SM-5S2U5	Muscle - Skeletal
GTEX-14C39-2526-SM-5S2UH	Adipose - Subcutaneous
GTEX-14C39-2626-SM-5S2QD	Artery - Tibial
GTEX-14C39-2726-SM-7DUEK	Nerve - Tibial
GTEX-14C39-2926-SM-73KU3	Pituitary
GTEX-14C39-3026-SM-5S2QE	Brain - Cerebellum
GTEX-14C39-3126-SM-5ZZW6	Brain - Cortex
GTEX-14C5O-0005-SM-5P9ER	Whole Blood
GTEX-14C5O-0011-R10a-SM-6872F	Brain - Frontal Cortex (BA9)
GTEX-14C5O-0011-R11b-SM-6872H	Brain - Cerebellar Hemisphere
GTEX-14C5O-0011-R1b-SM-6AJBW	Brain - Hippocampus
GTEX-14C5O-0011-R2a-SM-5ZZV2	Brain - Substantia nigra
GTEX-14C5O-0011-R6a-SM-5YYB6	Brain - Nucleus accumbens (basal ganglia)
GTEX-14C5O-0011-R7b-SM-5YYAH	Brain - Putamen (basal ganglia)
GTEX-14C5O-0011-R8a-SM-5YYAG	Brain - Hypothalamus
GTEX-14C5O-0126-SM-5SI6N	Skin - Sun Exposed (Lower leg)
GTEX-14C5O-0226-SM-5SI6O	Adipose - Subcutaneous
GTEX-14C5O-0326-SM-5ZZUX	Skin - Not Sun Exposed (Suprapubic)
GTEX-14C5O-0426-SM-5ZZUW	Nerve - Tibial
GTEX-14C5O-0526-SM-62LEI	Artery - Tibial
GTEX-14C5O-0626-SM-664N2	Muscle - Skeletal
GTEX-14C5O-0826-SM-5TDEG	Thyroid
GTEX-14C5O-0926-SM-793DM	Adipose - Visceral (Omentum)
GTEX-14C5O-1126-SM-5TDEH	Lung
GTEX-14C5O-1226-SM-664N3	Heart - Atrial Appendage
GTEX-14C5O-1326-SM-5S2UW	Heart - Left Ventricle
GTEX-14C5O-1426-SM-5RQI8	Artery - Coronary
GTEX-14C5O-1526-SM-7DHKT	Artery - Aorta
GTEX-14C5O-1626-SM-73KYH	Esophagus - Mucosa
GTEX-14C5O-1726-SM-5RQI9	Esophagus - Muscularis
GTEX-14C5O-2026-SM-5YYB1	Kidney - Cortex
GTEX-14C5O-2226-SM-5ZZW7	Esophagus - Gastroesophageal Junction
GTEX-14C5O-2326-SM-73KYU	Testis
GTEX-14C5O-2526-SM-73KU2	Colon - Transverse
GTEX-14C5O-2626-SM-5RQI5	Colon - Sigmoid
GTEX-14C5O-2826-SM-5RQI6	Prostate
GTEX-14C5O-2926-SM-5RQI1	Brain - Cerebellum
GTEX-14C5O-3026-SM-5YYB2	Brain - Cortex
GTEX-14C5O-3126-SM-664NK	Pituitary
GTEX-14DAQ-0005-SM-5NQ7B	Whole Blood
GTEX-14DAQ-0011-R11a-SM-664NO	Brain - Cerebellar Hemisphere
GTEX-14DAQ-0011-R3b-SM-5YYAJ	Brain - Anterior cingulate cortex (BA24)
GTEX-14DAQ-0011-R4a-SM-5YYAI	Brain - Amygdala
GTEX-14DAQ-0011-R5b-SM-5YYAK	Brain - Caudate (basal ganglia)
GTEX-14DAQ-0126-SM-5S2MQ	Skin - Sun Exposed (Lower leg)
GTEX-14DAQ-0226-SM-664MQ	Adipose - Subcutaneous
GTEX-14DAQ-0326-SM-664MR	Muscle - Skeletal
GTEX-14DAQ-0426-SM-664MS	Nerve - Tibial
GTEX-14DAQ-0526-SM-793AY	Artery - Tibial
GTEX-14DAQ-0626-SM-793DS	Skin - Not Sun Exposed (Suprapubic)
GTEX-14DAQ-0826-SM-73KWT	Thyroid
GTEX-14DAQ-0926-SM-793AZ	Lung
GTEX-14DAQ-1026-SM-793B1	Heart - Atrial Appendage
GTEX-14DAQ-1126-SM-664MT	Heart - Left Ventricle
GTEX-14DAQ-1326-SM-5RQIM	Artery - Aorta
GTEX-14DAQ-1426-SM-5RQJD	Esophagus - Mucosa
GTEX-14DAQ-1526-SM-5ZZW8	Esophagus - Muscularis
GTEX-14DAQ-1626-SM-5S2R1	Esophagus - Gastroesophageal Junction
GTEX-14DAQ-1726-SM-5S2R2	Liver
GTEX-14DAQ-1826-SM-5S2VV	Adrenal Gland
GTEX-14DAQ-2226-SM-5YYAD	Ovary
GTEX-14DAQ-2326-SM-5S2QX	Vagina
GTEX-14DAQ-2526-SM-5RQIO	Adipose - Visceral (Omentum)
GTEX-14DAQ-2726-SM-5S2QY	Colon - Transverse
GTEX-14DAQ-2826-SM-664MU	Stomach
GTEX-14DAQ-2926-SM-664MV	Colon - Sigmoid
GTEX-14DAQ-3026-SM-5S2QZ	Brain - Cerebellum
GTEX-14DAQ-3126-SM-62LDS	Brain - Cortex
GTEX-14DAQ-3226-SM-664OI	Pituitary
GTEX-14DAR-0006-SM-5N9GC	Whole Blood
GTEX-14DAR-0226-SM-5S2PR	Lung
GTEX-14DAR-0326-SM-5S2PS	Spleen
GTEX-14DAR-0426-SM-664MW	Adipose - Visceral (Omentum)
GTEX-14DAR-0526-SM-664MX	Pancreas
GTEX-14DAR-0626-SM-664MY	Esophagus - Muscularis
GTEX-14DAR-0726-SM-5RQIA	Esophagus - Gastroesophageal Junction
GTEX-14DAR-0826-SM-73KYJ	Esophagus - Mucosa
GTEX-14DAR-0926-SM-73KUQ	Stomach
GTEX-14DAR-1026-SM-73KV3	Prostate
GTEX-14DAR-1126-SM-793AT	Testis
GTEX-14DAR-1226-SM-73KYV	Skin - Not Sun Exposed (Suprapubic)
GTEX-14DAR-1326-SM-7DUEG	Breast - Mammary Tissue
GTEX-14DAR-1426-SM-5RQIR	Small Intestine - Terminal Ileum
GTEX-14DAR-1526-SM-5RQIX	Colon - Transverse
GTEX-14DAR-1726-SM-664MZ	Adrenal Gland
GTEX-14DAR-1826-SM-664N1	Muscle - Skeletal
GTEX-14DAR-1926-SM-5S2NQ	Adipose - Subcutaneous
GTEX-14DAR-2026-SM-5S2O3	Skin - Sun Exposed (Lower leg)
GTEX-14DAR-2126-SM-5RQID	Artery - Tibial
GTEX-14DAR-2226-SM-5S2VT	Nerve - Tibial
GTEX-14E1K-0006-SM-5N9DY	Whole Blood
GTEX-14E1K-0126-SM-664NL	Spleen
GTEX-14E1K-0226-SM-62LDT	Lung
GTEX-14E1K-0326-SM-5S2PE	Liver
GTEX-14E1K-0426-SM-5S2PF	Adipose - Visceral (Omentum)
GTEX-14E1K-0626-SM-5S2PG	Adrenal Gland
GTEX-14E1K-0726-SM-62LDU	Artery - Aorta
GTEX-14E1K-0826-SM-5ZZW9	Heart - Atrial Appendage
GTEX-14E1K-0926-SM-5S2U4	Artery - Coronary
GTEX-14E1K-1026-SM-73KUR	Heart - Left Ventricle
GTEX-14E1K-1126-SM-73KV4	Esophagus - Muscularis
GTEX-14E1K-1226-SM-5S2PD	Esophagus - Mucosa
GTEX-14E1K-1426-SM-5YY8V	Esophagus - Gastroesophageal Junction
GTEX-14E1K-1526-SM-664MN	Stomach
GTEX-14E1K-1626-SM-664MO	Colon - Sigmoid
GTEX-14E1K-1826-SM-793DT	Colon - Transverse
GTEX-14E1K-1926-SM-73KWS	Testis
GTEX-14E1K-2026-SM-7DUEI	Skin - Not Sun Exposed (Suprapubic)
GTEX-14E1K-2126-SM-793DU	Adipose - Subcutaneous
GTEX-14E1K-2326-SM-664MP	Muscle - Skeletal
GTEX-14E1K-2526-SM-5ZZWA	Artery - Tibial
GTEX-14E1K-2626-SM-664OJ	Minor Salivary Gland
GTEX-14E6C-0005-SM-5O98N	Whole Blood
GTEX-14E6C-0011-R9a-SM-6EU33	Brain - Spinal cord (cervical c-1)
GTEX-14E6C-0126-SM-5RQIP	Skin - Sun Exposed (Lower leg)
GTEX-14E6C-0226-SM-5S2N3	Adipose - Subcutaneous
GTEX-14E6C-0326-SM-5Q5EE	Heart - Atrial Appendage
GTEX-14E6C-0426-SM-5YYA8	Heart - Left Ventricle
GTEX-14E6C-0626-SM-664NA	Artery - Aorta
GTEX-14E6C-0726-SM-664NB	Esophagus - Gastroesophageal Junction
GTEX-14E6C-0926-SM-5S2V9	Esophagus - Muscularis
GTEX-14E6C-1026-SM-5SI6P	Nerve - Tibial
GTEX-14E6C-1126-SM-62LDM	Artery - Tibial
GTEX-14E6C-1226-SM-5ZZUN	Adipose - Visceral (Omentum)
GTEX-14E6C-1326-SM-62LEQ	Breast - Mammary Tissue
GTEX-14E6C-1426-SM-5ZZWH	Lung
GTEX-14E6C-1526-SM-664ND	Muscle - Skeletal
GTEX-14E6C-2226-SM-5QGQG	Colon - Sigmoid
GTEX-14E6C-2426-SM-5S2NF	Skin - Not Sun Exposed (Suprapubic)
GTEX-14E6C-2626-SM-5RQJP	Thyroid
GTEX-14E6C-2826-SM-664NC	Prostate
GTEX-14E6D-0005-SM-5N9D7	Whole Blood
GTEX-14E6D-0011-R10a-SM-5YY9C	Brain - Frontal Cortex (BA9)
GTEX-14E6D-0011-R11b-SM-664NP	Brain - Cerebellar Hemisphere
GTEX-14E6D-0011-R1b-SM-5YYAW	Brain - Hippocampus
GTEX-14E6D-0011-R5b-SM-69LQR	Brain - Caudate (basal ganglia)
GTEX-14E6D-0126-SM-62LDV	Skin - Sun Exposed (Lower leg)
GTEX-14E6D-0226-SM-62LDW	Adipose - Subcutaneous
GTEX-14E6D-0326-SM-62LDX	Muscle - Skeletal
GTEX-14E6D-0926-SM-5S2QV	Heart - Left Ventricle
GTEX-14E6D-1026-SM-5S2RS	Lung
GTEX-14E6D-1326-SM-62LES	Adipose - Visceral (Omentum)
GTEX-14E6D-2526-SM-5YYA9	Kidney - Cortex
GTEX-14E6D-2926-SM-664OP	Brain - Cerebellum
GTEX-14E6E-0006-SM-5MR5N	Whole Blood
GTEX-14E6E-0126-SM-73KXH	Adrenal Gland
GTEX-14E6E-0226-SM-7DUEF	Adipose - Visceral (Omentum)
GTEX-14E6E-0326-SM-73KY6	Thyroid
GTEX-14E6E-0426-SM-73KUE	Lung
GTEX-14E6E-0526-SM-793DN	Skin - Not Sun Exposed (Suprapubic)
GTEX-14E6E-0626-SM-73KX6	Esophagus - Muscularis
GTEX-14E6E-0726-SM-5S2R3	Esophagus - Mucosa
GTEX-14E6E-0826-SM-664N7	Esophagus - Gastroesophageal Junction
GTEX-14E6E-0926-SM-664N8	Stomach
GTEX-14E6E-1026-SM-664N9	Testis
GTEX-14E6E-1126-SM-5S2R4	Prostate
GTEX-14E6E-1226-SM-5S2R5	Spleen
GTEX-14E6E-1326-SM-5S2NR	Breast - Mammary Tissue
GTEX-14E6E-1426-SM-5RQI2	Pancreas
GTEX-14E6E-1526-SM-5RQIG	Colon - Transverse
GTEX-14E6E-1626-SM-5RQI7	Small Intestine - Terminal Ileum
GTEX-14E6E-1726-SM-5S2R6	Colon - Sigmoid
GTEX-14E6E-1826-SM-5S2R7	Skin - Sun Exposed (Lower leg)
GTEX-14E6E-1926-SM-664N4	Adipose - Subcutaneous
GTEX-14E6E-2026-SM-664N5	Muscle - Skeletal
GTEX-14E6E-2126-SM-664N6	Artery - Tibial
GTEX-14E6E-2226-SM-5SI6F	Nerve - Tibial
GTEX-14E7W-0006-SM-5N9GG	Whole Blood
GTEX-14E7W-0011-R10a-SM-5YYAX	Brain - Frontal Cortex (BA9)
GTEX-14E7W-0011-R11a-SM-5ZZVA	Brain - Cerebellar Hemisphere
GTEX-14E7W-0011-R1b-SM-5YYAT	Brain - Hippocampus
GTEX-14E7W-0011-R3b-SM-5YYB5	Brain - Anterior cingulate cortex (BA24)
GTEX-14E7W-0011-R4b-SM-62LEA	Brain - Amygdala
GTEX-14E7W-0011-R6b-SM-5ZZV3	Brain - Nucleus accumbens (basal ganglia)
GTEX-14E7W-0011-R7b-SM-5ZZV4	Brain - Putamen (basal ganglia)
GTEX-14E7W-0011-R9a-SM-62LE6	Brain - Spinal cord (cervical c-1)
GTEX-14E7W-0126-SM-6LLJ9	Skin - Sun Exposed (Lower leg)
GTEX-14E7W-0426-SM-5S2O4	Nerve - Tibial
GTEX-14E7W-0526-SM-5S2W8	Artery - Tibial
GTEX-14E7W-0726-SM-664OK	Testis
GTEX-14E7W-0826-SM-62LEJ	Breast - Mammary Tissue
GTEX-14E7W-0926-SM-5YYA4	Thyroid
GTEX-14E7W-1026-SM-62LEK	Artery - Coronary
GTEX-14E7W-1126-SM-5ZZVS	Heart - Atrial Appendage
GTEX-14E7W-1226-SM-5RQIU	Heart - Left Ventricle
GTEX-14E7W-1326-SM-5RQIV	Lung
GTEX-14E7W-1426-SM-6LLJ2	Artery - Aorta
GTEX-14E7W-1526-SM-6871X	Liver
GTEX-14E7W-1826-SM-69LQ1	Esophagus - Muscularis
GTEX-14E7W-1926-SM-5S2R9	Esophagus - Gastroesophageal Junction
GTEX-14E7W-2326-SM-69LQC	Adipose - Visceral (Omentum)
GTEX-14E7W-2926-SM-5S2R8	Brain - Cerebellum
GTEX-14E7W-3126-SM-68725	Pituitary
GTEX-14H4A-0006-SM-5N9E3	Whole Blood
GTEX-14H4A-0226-SM-5SI6Q	Adrenal Gland
GTEX-14H4A-0426-SM-5ZZWO	Heart - Atrial Appendage
GTEX-14H4A-0526-SM-62LEU	Artery - Coronary
GTEX-14H4A-0626-SM-5ZZUT	Heart - Left Ventricle
GTEX-14H4A-0926-SM-5ZZUU	Muscle - Skeletal
GTEX-14H4A-1026-SM-62LDY	Adipose - Subcutaneous
GTEX-14H4A-1626-SM-5SI69	Esophagus - Mucosa
GTEX-14H4A-1726-SM-5ZZUV	Esophagus - Muscularis
GTEX-14H4A-1926-SM-5ZZWN	Colon - Transverse
GTEX-14H4A-2426-SM-664OQ	Vagina
GTEX-14H4A-2526-SM-5YYAY	Breast - Mammary Tissue
GTEX-14ICK-0006-SM-5NQB5	Whole Blood
GTEX-14ICK-0226-SM-6EU25	Skin - Sun Exposed (Lower leg)
GTEX-14ICK-0326-SM-6LLIZ	Adipose - Subcutaneous
GTEX-14ICK-0526-SM-6EU26	Nerve - Tibial
GTEX-14ICK-1026-SM-6AJA4	Colon - Transverse
GTEX-14ICK-1126-SM-69LOO	Esophagus - Gastroesophageal Junction
GTEX-14ICK-1626-SM-6ETZX	Thyroid
GTEX-14ICK-1726-SM-6AJA5	Adipose - Visceral (Omentum)
GTEX-14ICK-1826-SM-69LOP	Prostate
GTEX-14ICK-2026-SM-6AJB2	Esophagus - Mucosa
GTEX-14ICK-2426-SM-6EU27	Breast - Mammary Tissue
GTEX-14ICL-0006-SM-5SIAB	Whole Blood
GTEX-14ICL-0126-SM-664NG	Spleen
GTEX-14ICL-0326-SM-5S2OS	Artery - Aorta
GTEX-14ICL-0426-SM-5RQJ3	Thyroid
GTEX-14ICL-0526-SM-5RQJ6	Esophagus - Mucosa
GTEX-14ICL-0626-SM-5ZZUO	Esophagus - Muscularis
GTEX-14ICL-0826-SM-5YY9W	Stomach
GTEX-14ICL-0926-SM-5S2TU	Adipose - Visceral (Omentum)
GTEX-14ICL-1126-SM-5S2RE	Pancreas
GTEX-14ICL-1226-SM-5S2RD	Colon - Transverse
GTEX-14ICL-1626-SM-5YYAO	Skin - Not Sun Exposed (Suprapubic)
GTEX-14ICL-1826-SM-5RQIY	Artery - Tibial
GTEX-14ICL-1926-SM-5RQIZ	Muscle - Skeletal
GTEX-14ICL-2026-SM-62LDN	Adipose - Subcutaneous
GTEX-14JFF-0005-SM-7P8RF	Whole Blood
GTEX-14JFF-0011-R4a-SM-5ZZV5	Brain - Amygdala
GTEX-14JFF-0426-SM-6LLHR	Nerve - Tibial
GTEX-14JFF-0526-SM-62LFL	Artery - Tibial
GTEX-14JFF-0626-SM-5ZZVT	Skin - Not Sun Exposed (Suprapubic)
GTEX-14JFF-2826-SM-6871Q	Brain - Cerebellum
GTEX-14JG1-0006-SM-7SB6P	Whole Blood
GTEX-14JG1-0011-R2a-SM-5ZZVE	Brain - Substantia nigra
GTEX-14JG1-0011-R3a-SM-62LEC	Brain - Anterior cingulate cortex (BA24)
GTEX-14JG1-0011-R4b-SM-62LEB	Brain - Amygdala
GTEX-14JG1-0011-R5a-SM-62LED	Brain - Caudate (basal ganglia)
GTEX-14JG1-0011-R6b-SM-5YYAU	Brain - Nucleus accumbens (basal ganglia)
GTEX-14JG1-0011-R7b-SM-5YYAV	Brain - Putamen (basal ganglia)
GTEX-14JG1-0126-SM-5ZZUP	Muscle - Skeletal
GTEX-14JG1-0326-SM-62LDO	Artery - Tibial
GTEX-14JG1-0426-SM-6ETZZ	Skin - Sun Exposed (Lower leg)
GTEX-14JG1-0526-SM-6LLHW	Adipose - Subcutaneous
GTEX-14JG1-0826-SM-5ZZWR	Heart - Atrial Appendage
GTEX-14JG1-0926-SM-5YY8W	Lung
GTEX-14JG1-1026-SM-6ETZY	Heart - Left Ventricle
GTEX-14JG1-1526-SM-5YY9X	Skin - Not Sun Exposed (Suprapubic)
GTEX-14JG1-1626-SM-664NH	Liver
GTEX-14JG1-1826-SM-5YY9Y	Esophagus - Gastroesophageal Junction
GTEX-14JG1-2926-SM-686ZK	Brain - Cerebellum
GTEX-14JG1-3026-SM-5YYAA	Brain - Cortex
GTEX-14JG1-3126-SM-69LOQ	Pituitary
GTEX-14JG6-0005-SM-9JGFV	Whole Blood
GTEX-14JG6-0126-SM-68726	Adrenal Gland
GTEX-14JG6-0226-SM-6872A	Spleen
GTEX-14JG6-0326-SM-6AJBT	Lung
GTEX-14JG6-0426-SM-68715	Pancreas
GTEX-14JG6-0526-SM-6LLIH	Adipose - Visceral (Omentum)
GTEX-14JG6-0626-SM-68716	Ovary
GTEX-14JG6-0726-SM-69LQH	Vagina
GTEX-14JG6-0826-SM-6AJB9	Uterus
GTEX-14JG6-0926-SM-6871Y	Esophagus - Mucosa
GTEX-14JG6-1026-SM-6LLIF	Esophagus - Gastroesophageal Junction
GTEX-14JG6-1226-SM-664O6	Stomach
GTEX-14JG6-1326-SM-9OSXU	Thyroid
GTEX-14JG6-1426-SM-9WG7C	Skin - Not Sun Exposed (Suprapubic)
GTEX-14JG6-1626-SM-5YYBC	Colon - Sigmoid
GTEX-14JG6-1726-SM-69LPL	Colon - Transverse
GTEX-14JG6-1926-SM-6LLIG	Nerve - Tibial
GTEX-14JG6-2026-SM-6EU2E	Artery - Tibial
GTEX-14JG6-2126-SM-6EU2F	Muscle - Skeletal
GTEX-14JG6-2226-SM-6EU2G	Skin - Sun Exposed (Lower leg)
GTEX-14JG6-2326-SM-6LLH3	Adipose - Subcutaneous
GTEX-14JIY-0005-SM-7MXVF	Whole Blood
GTEX-14JIY-0011-R10a-SM-6AJAO	Brain - Frontal Cortex (BA9)
GTEX-14JIY-0011-R1a-SM-68713	Brain - Hippocampus
GTEX-14JIY-0011-R3a-SM-5YYAQ	Brain - Anterior cingulate cortex (BA24)
GTEX-14JIY-0011-R4b-SM-5ZZV7	Brain - Amygdala
GTEX-14JIY-0011-R5b-SM-62LE7	Brain - Caudate (basal ganglia)
GTEX-14JIY-0011-R6b-SM-68714	Brain - Nucleus accumbens (basal ganglia)
GTEX-14JIY-0011-R8a-SM-6AJAP	Brain - Hypothalamus
GTEX-14JIY-0011-R9a-SM-6EU34	Brain - Spinal cord (cervical c-1)
GTEX-14JIY-0126-SM-6LLH6	Skin - Sun Exposed (Lower leg)
GTEX-14JIY-0426-SM-62LF7	Muscle - Skeletal
GTEX-14JIY-0526-SM-62LFH	Adipose - Subcutaneous
GTEX-14JIY-0926-SM-6871D	Esophagus - Mucosa
GTEX-14JIY-1126-SM-6EU28	Heart - Left Ventricle
GTEX-14JIY-1226-SM-6871R	Thyroid
GTEX-14JIY-1326-SM-6AJB3	Lung
GTEX-14JIY-1426-SM-6EU29	Adipose - Visceral (Omentum)
GTEX-14JIY-2326-SM-6AJAJ	Brain - Cerebellum
GTEX-14JIY-2926-SM-69LPT	Brain - Cortex
GTEX-14JIY-3026-SM-6EU1R	Minor Salivary Gland
GTEX-14JIY-3326-SM-6871E	Colon - Transverse
GTEX-14LLW-0006-SM-9QEGG	Whole Blood
GTEX-14LLW-0011-R1a-SM-5ZZVD	Brain - Hippocampus
GTEX-14LLW-0011-R3b-SM-62LFW	Brain - Anterior cingulate cortex (BA24)
GTEX-14LLW-0011-R5b-SM-5ZZU6	Brain - Caudate (basal ganglia)
GTEX-14LLW-0011-R8a-SM-62LFG	Brain - Hypothalamus
GTEX-14LLW-0126-SM-6LLIO	Skin - Sun Exposed (Lower leg)
GTEX-14LLW-0226-SM-62LEL	Adipose - Subcutaneous
GTEX-14LLW-0326-SM-5ZZWD	Nerve - Tibial
GTEX-14LLW-0526-SM-62LFB	Muscle - Skeletal
GTEX-14LLW-0626-SM-62LFC	Breast - Mammary Tissue
GTEX-14LLW-0726-SM-5ZZVV	Lung
GTEX-14LLW-2626-SM-62LDZ	Skin - Not Sun Exposed (Suprapubic)
GTEX-14LLW-3026-SM-6EU1O	Pituitary
GTEX-14LZ3-0005-SM-7MXUG	Whole Blood
GTEX-14LZ3-0011-R10b-SM-6AJA9	Brain - Frontal Cortex (BA9)
GTEX-14LZ3-0011-R1a-SM-69LP5	Brain - Hippocampus
GTEX-14LZ3-0011-R3a-SM-664NQ	Brain - Anterior cingulate cortex (BA24)
GTEX-14LZ3-0011-R5b-SM-5ZZV8	Brain - Caudate (basal ganglia)
GTEX-14LZ3-0011-R6a-SM-D3L8C	Brain - Nucleus accumbens (basal ganglia)
GTEX-14LZ3-0011-R7a-SM-69LQN	Brain - Putamen (basal ganglia)
GTEX-14LZ3-0011-R8b-SM-COH3M	Brain - Hypothalamus
GTEX-14LZ3-0126-SM-69LPM	Skin - Not Sun Exposed (Suprapubic)
GTEX-14LZ3-0226-SM-62LET	Skin - Sun Exposed (Lower leg)
GTEX-14LZ3-0626-SM-5ZZWP	Muscle - Skeletal
GTEX-14LZ3-0726-SM-5YYAB	Lung
GTEX-14LZ3-3026-SM-5ZZVU	Brain - Cortex
GTEX-14LZ3-3126-SM-69LPN	Pituitary
GTEX-14PHW-0005-SM-9KNTK	Whole Blood
GTEX-14PHW-0011-R6b-SM-5YYAR	Brain - Nucleus accumbens (basal ganglia)
GTEX-14PHW-0126-SM-6LLJI	Skin - Sun Exposed (Lower leg)
GTEX-14PHW-0526-SM-6LLIP	Nerve - Tibial
GTEX-14PHW-1326-SM-6EU1S	Esophagus - Gastroesophageal Junction
GTEX-14PHW-1626-SM-6EU2H	Adipose - Visceral (Omentum)
GTEX-14PHW-2426-SM-69LPU	Uterus
GTEX-14PHW-2926-SM-6AJBA	Thyroid
GTEX-14PHX-0526-SM-664NW	Liver
GTEX-14PHX-0626-SM-5YY8Z	Heart - Atrial Appendage
GTEX-14PHX-0826-SM-69LPO	Esophagus - Muscularis
GTEX-14PHX-0926-SM-5ZZWC	Esophagus - Gastroesophageal Junction
GTEX-14PHX-1026-SM-664OL	Stomach
GTEX-14PHX-1126-SM-5YYA5	Colon - Sigmoid
GTEX-14PHX-1426-SM-69LPP	Testis
GTEX-14PHX-1526-SM-68717	Colon - Transverse
GTEX-14PHX-1626-SM-69LQB	Adipose - Visceral (Omentum)
GTEX-14PHX-2026-SM-6872C	Pancreas
GTEX-14PHX-2126-SM-6EU2U	Heart - Left Ventricle
GTEX-14PHX-2226-SM-6EU2P	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PHX-2326-SM-62LEM	Skin - Sun Exposed (Lower leg)
GTEX-14PHX-2426-SM-62LEN	Adipose - Subcutaneous
GTEX-14PHX-2526-SM-62LEO	Nerve - Tibial
GTEX-14PHY-0006-SM-7SB7I	Whole Blood
GTEX-14PHY-0226-SM-5ZZWM	Heart - Left Ventricle
GTEX-14PHY-0326-SM-62LE3	Heart - Atrial Appendage
GTEX-14PHY-0526-SM-664NM	Lung
GTEX-14PHY-0626-SM-664NN	Esophagus - Mucosa
GTEX-14PHY-0726-SM-5YY8X	Esophagus - Muscularis
GTEX-14PHY-0926-SM-5ZZWL	Stomach
GTEX-14PHY-1026-SM-62LEV	Adipose - Visceral (Omentum)
GTEX-14PHY-1126-SM-664OR	Pancreas
GTEX-14PHY-1226-SM-5ZZWK	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PHY-1926-SM-5YY95	Breast - Mammary Tissue
GTEX-14PHY-2626-SM-62LF8	Nerve - Tibial
GTEX-14PHY-2726-SM-62LE2	Artery - Tibial
GTEX-14PII-0005-SM-7RHFV	Whole Blood
GTEX-14PII-0226-SM-6EU1T	Skin - Sun Exposed (Lower leg)
GTEX-14PII-0326-SM-6LLIQ	Adipose - Subcutaneous
GTEX-14PII-0426-SM-6LLIR	Nerve - Tibial
GTEX-14PII-0526-SM-6EU2A	Artery - Tibial
GTEX-14PII-0626-SM-69LPY	Muscle - Skeletal
GTEX-14PII-0726-SM-6EU2B	Skin - Not Sun Exposed (Suprapubic)
GTEX-14PII-0826-SM-6871S	Thyroid
